"_id","measuretime","topic","payload.value","payload.value_units","payload.input","payload.subID","payload.unitID"
"ObjectId(""60606b7e5ebb635c20b5d6e7"")","2021-03-28T11:41:50.000Z","u4/campusfab/luminosity",251,"lux",,57,"auto_2C76"
"ObjectId(""60606b7e5ebb635c20b5d6e8"")","2021-03-28T11:41:50.000Z","u4/300/energy","[2700436,2700430,233.98,0,0,0,0,0]","[""Wh"",""Ea+"",""V"",""A"",""W"",""VAR"",""VA"",""cosPhi""]",79,"lighting","modbus_rs485"
"ObjectId(""60606b7f5ebb635c20b5d6e9"")","2021-03-28T11:41:51.000Z","u4/300/luminosity",204,"lux",100,"ilot1","inside"
"ObjectId(""60606b7f5ebb635c20b5d6ea"")","2021-03-28T11:41:51.000Z","u4/300/luminosity",298,"lux",105,"ilot2","inside"
"ObjectId(""60606b7f5ebb635c20b5d6eb"")","2021-03-28T11:41:51.000Z","u4/300/luminosity",699,"lux",110,"ilot3","inside"
"ObjectId(""60606b805ebb635c20b5d6ec"")","2021-03-28T11:41:52.000Z","bu/111/temperature",23.25,"celsius",,"31","auto_61ca"
"ObjectId(""60606b855ebb635c20b5d6ed"")","2021-03-28T11:41:57.000Z","u4/301/luminosity",1000,"lux",100,"ilot1","inside"
"ObjectId(""60606b855ebb635c20b5d6ee"")","2021-03-28T11:41:57.000Z","u4/301/luminosity",413,"lux",105,"ilot2","inside"
"ObjectId(""60606b855ebb635c20b5d6ef"")","2021-03-28T11:41:57.000Z","u4/301/luminosity",718,"lux",110,"ilot3","inside"
"ObjectId(""60606b865ebb635c20b5d6f0"")","2021-03-28T11:41:58.000Z","u4/301/energy","[0.75,0,3787.88,30.88,30.73,0]","[""m3/hr"",""kW"",""kWh"",""hot_degresC"",""cold_degresC"",""diff_degresC""]",1,"heaters","modbus_rs485"
"ObjectId(""60606b865ebb635c20b5d6f1"")","2021-03-28T11:41:58.000Z","u4/301/energy","[1154373,1154370,234.45,0,0,0,0,0]","[""Wh"",""Ea+"",""V"",""A"",""W"",""VAR"",""VA"",""cosPhi""]",78,"lighting","modbus_rs485"
"ObjectId(""60606b865ebb635c20b5d6f2"")","2021-03-28T11:41:58.000Z","u4/302/luminosity",110,"w/m2",119,"ouest","outside"
"ObjectId(""60606b865ebb635c20b5d6f3"")","2021-03-28T11:41:58.000Z","irit2/160/temperature",23,"celsius",,"31","auto_1b73"
"ObjectId(""60606b865ebb635c20b5d6f4"")","2021-03-28T11:41:58.000Z","irit2/160/temperature",23.99373,"celsius",,"64","auto_1b73"
"ObjectId(""60606b875ebb635c20b5d6f5"")","2021-03-28T11:41:59.000Z","irit2/160/humidity",25,"%r.H.",,"64","auto_1b73"
"ObjectId(""60606b875ebb635c20b5d6f6"")","2021-03-28T11:41:59.000Z","u4/302/temperature",16.91,"celsius",117,"ouest","outside"
"ObjectId(""60606b875ebb635c20b5d6f7"")","2021-03-28T11:41:59.000Z","u4/302/humidity",37,"%r.H.",118,"ouest","outside"
"ObjectId(""60606b875ebb635c20b5d6f8"")","2021-03-28T11:41:59.000Z","u4/300/temperature",26.86,"celsius",103,"ilot1","inside"
"ObjectId(""60606b875ebb635c20b5d6f9"")","2021-03-28T11:41:59.000Z","u4/300/temperature",27.92,"celsius",108,"ilot2","inside"
"ObjectId(""60606b875ebb635c20b5d6fa"")","2021-03-28T11:41:59.000Z","u4/300/temperature",26.69,"celsius",113,"ilot3","inside"
"ObjectId(""60606b885ebb635c20b5d6fb"")","2021-03-28T11:42:00.000Z","u4/300/co2",301,"ppm",102,"ilot1","inside"
"ObjectId(""60606b885ebb635c20b5d6fc"")","2021-03-28T11:42:00.000Z","u4/300/humidity",30,"%r.H.",104,"ilot1","inside"
"ObjectId(""60606b885ebb635c20b5d6fd"")","2021-03-28T11:42:00.000Z","u4/300/humidity",34,"%r.H.",109,"ilot2","inside"
"ObjectId(""60606b885ebb635c20b5d6fe"")","2021-03-28T11:42:00.000Z","u4/300/co2",363,"ppm",107,"ilot2","inside"
"ObjectId(""60606b885ebb635c20b5d6ff"")","2021-03-28T11:42:00.000Z","u4/300/humidity",30,"%r.H.",114,"ilot3","inside"
"ObjectId(""60606b885ebb635c20b5d700"")","2021-03-28T11:42:00.000Z","u4/300/co2",463,"ppm",112,"ilot3","inside"
"ObjectId(""60606b895ebb635c20b5d701"")","2021-03-28T11:42:01.000Z","irit2/366/luminosity",0,"lux",106,"ilot1","inside"
"ObjectId(""60606b8a5ebb635c20b5d702"")","2021-03-28T11:42:02.000Z","irit2/360/luminosity",0,"lux",,"57","auto_7e65"
"ObjectId(""60606b8a5ebb635c20b5d703"")","2021-03-28T11:42:02.000Z","irit2/366/luminosity",84,"lux",,"57","auto_adc7"
"ObjectId(""60606b8b5ebb635c20b5d704"")","2021-03-28T11:42:03.000Z","irit2/460/luminosity",0,"lux",,"57","auto_ea9c"
"ObjectId(""60606b8b5ebb635c20b5d705"")","2021-03-28T11:42:03.000Z","u4/302/luminosity",994,"lux",100,"ilot1","inside"
"ObjectId(""60606b8b5ebb635c20b5d706"")","2021-03-28T11:42:03.000Z","u4/302/luminosity",80,"lux",105,"ilot2","inside"
"ObjectId(""60606b8b5ebb635c20b5d707"")","2021-03-28T11:42:03.000Z","u4/302/luminosity",188,"lux",110,"ilot3","inside"
"ObjectId(""60606b8c5ebb635c20b5d708"")","2021-03-28T11:42:04.000Z","bu/hall/temperature",22.125,"celsius",,"31","auto_d771"
"ObjectId(""60606b8d5ebb635c20b5d709"")","2021-03-28T11:42:05.000Z","bu/111/luminosity",91,"lux",,"57","auto_61ca"
"ObjectId(""60606b8e5ebb635c20b5d70a"")","2021-03-28T11:42:06.000Z","u4/300/luminosity",862,"w/m2",116,"east","outside"
"ObjectId(""60606b8f5ebb635c20b5d70b"")","2021-03-28T11:42:07.000Z","irit2/260/luminosity",0,"lux",,"57","auto_4c0b"
"ObjectId(""60606b905ebb635c20b5d70c"")","2021-03-28T11:42:08.000Z","irit2/366/energy","[533558,533550,234.32,0.09,10,20,20,0.52]","[""Wh"",""Ea+"",""V"",""A"",""W"",""VAR"",""VA"",""cosPhi""]",61,"main","modbus_rs485"
"ObjectId(""60606b915ebb635c20b5d70d"")","2021-03-28T11:42:09.000Z","u4/302/energy","[0.88,1.4,7769.24,29.86,28.47,1.39]","[""m3/hr"",""kW"",""kWh"",""hot_degresC"",""cold_degresC"",""diff_degresC""]",1,"chauffage","modbus_rs485"
"ObjectId(""60606b915ebb635c20b5d70e"")","2021-03-28T11:42:09.000Z","u4/302/energy","[246078,246070,234.33,0.12,10,30,30,0.19]","[""Wh"",""Ea+"",""V"",""A"",""W"",""VAR"",""VA"",""cosPhi""]",88,"prises1","modbus_rs485"
"ObjectId(""60606b925ebb635c20b5d70f"")","2021-03-28T11:42:10.000Z","u4/302/energy","[7061180,7061180,233.99,0.78,110,140,180,0.61]","[""Wh"",""Ea+"",""V"",""A"",""W"",""VAR"",""VA"",""cosPhi""]",65,"prises2","modbus_rs485"
"ObjectId(""60606b925ebb635c20b5d710"")","2021-03-28T11:42:10.000Z","u4/302/energy","[3090026,3090020,233.65,0.28,40,50,70,0.61]","[""Wh"",""Ea+"",""V"",""A"",""W"",""VAR"",""VA"",""cosPhi""]",62,"prises3","modbus_rs485"
"ObjectId(""60606b925ebb635c20b5d711"")","2021-03-28T11:42:10.000Z","u4/campusfab/luminosity",251,"lux",,57,"auto_2C76"
"ObjectId(""60606b935ebb635c20b5d712"")","2021-03-28T11:42:11.000Z","u4/300/luminosity",205,"lux",100,"ilot1","inside"
"ObjectId(""60606b935ebb635c20b5d713"")","2021-03-28T11:42:11.000Z","u4/300/luminosity",297,"lux",105,"ilot2","inside"
"ObjectId(""60606b935ebb635c20b5d714"")","2021-03-28T11:42:11.000Z","u4/300/luminosity",700,"lux",110,"ilot3","inside"
"ObjectId(""60606b965ebb635c20b5d715"")","2021-03-28T11:42:14.000Z","bu/tour_8etg/luminosity",2249,"lux",,"57","auto_a13a"
"ObjectId(""60606b975ebb635c20b5d716"")","2021-03-28T11:42:15.000Z","irit2/366/humidity",31,"%r.H.",104,"ilot1","inside"
"ObjectId(""60606b985ebb635c20b5d717"")","2021-03-28T11:42:16.000Z","bu/hall/luminosity",17,"lux",,"57","auto_4c24"
"ObjectId(""60606b985ebb635c20b5d718"")","2021-03-28T11:42:16.000Z","irit2/366/temperature",20.98,"celsius",103,"ilot1","inside"
